!BIOWARE.DAT - Bioware data file - JW 960202 (Update of PM 940520)
! s/c/x  standard/cultured only/cosmetic (no cultured)
! modifiers are considered natural/racial hence BOD becomes ROD
! Natural + Racial Mod except INI -> NNI  & RCT -> NCT
! Plastic Warrior book are integrated in alphabetical order with CB (Chrome Book)
! Reference to CB (Chromebook) are from downloadble edition at http://shadowrun.html.com/plasticwarriors
! and from the compilation Chromebook 1 to 4, so page numbers indicated are in this order.
! Updated 000305 Thierry N  Updated 10/19/02 by Lich325 12/14/02 SOTA update by Jan Yarwood 
0-1|Bioware|8|Book.Page|Availability|BioIndex|$Cost|Mods|Type|Street Index|Notes|
1-STANDARD
2-* Adrenal Pump [1](trig)         1|mm.064|10/16 days|1.25|60000||s|3.0|+1QCK,+2STR,+1WIL,+2RCT, damage taken
2-* Adrenal Pump [2](trig)         1|mm.064|10/16 days|2.5|100000||s|3.0|+2QCK,+4STR,+2WIL,+4RCT, damage taken
2-* Anti-Plague Nanot.             1|cb1.29|6/7 days|0.40|17500||s|1.5|
2-* Biotechnica Neoappendix        1|cb4.138|5/7 days|0.30|15000||s|2.00|Extra die for finding food in Survival
2-* Bonespike                      1|cb3.97|5/72 hours|0.30|10000||s|1.50|Damage (STR-1)M,concealabilitie 9 if retracted
2-* Cam-O-Skin (DERMATECH)         1|cb3.99|6/72 hours|1.50|8500||s|2.0|Like camouflage clothing
2-* Cat's Eyes                     1|mm.064|4/6 days|0.2|15000||s|1.00|Lowlight vision
2-* Chemical Gland NarcoJet        1|mm.064|10/4 days|0.6|45000||s|3.00|Narcojet toxin
2-* Chemical Gland GammaScopo      1|mm.064|10/4 days|0.6|60000||s|3.00|Gamma-Scopolamine toxin
2-* Chemical Gland template        1|mm.064|10/4 days|0.6|1000000||s|3.00|must be customized in Bioware.dat via DATeditor
! put specialized gland costs with dose here
2-Compound Eyes
3-* Compound Eyes [1]              1|cp.32|6/60 hours|0.30|3000||s|1.25|
3-* Compound Eyes [2]              1|cp.32|6/60 hours|0.30|6000||s|1.25|
3-* Compound Eyes [3]              1|cp.32|6/60 hours|0.30|9000||s|1.25|
3-* Compound Eyes [4]              1|cp.32|6/60 hours|0.30|12000||s|1.25|
3-* Compound Eyes [5]              1|cp.32|6/60 hours|0.30|15000||s|1.25|
3-* Compound Eyes [1]UV            1|cp.33|6/60 hours|0.30|7500||s|1.25|
3-* Compound Eyes [2]UV            1|cp.33|6/60 hours|0.30|10500||s|1.25|
3-* Compound Eyes [3]UV            1|cp.33|6/60 hours|0.30|13500||s|1.25|
3-* Compound Eyes [4]UV            1|cp.33|6/60 hours|0.30|16500||s|1.25|
