!SKILLS.DAT - Skills data file - 
! MOD TO SR3 MM 990906
!-----------------------------------------------------------------
!Shadowrun 3 Original
!---------------------
!#Skill class
!Skill name(ATR)  BOD,INT,CHA,QCK,STR,WIL,REA
!         (KNO)  LAN   Knowledge, Language
! Followed by the Book-Page using | as a separator
! Followed by the Notes section using another | as a separator
! Concentration (is now specialization)  use "->" for custom spec (see assault rifles)
!  Specialization ( * = enter weapon/vehicle/etc... ) ELIMINATED IN SR3
! NO MORE THAN 3000 Records!!
! Josef Wegner: added Target: Wastelands entries 01/03/03
!--------------
#Combat skills
!--------------
Assault Rifles(QCK)|sr3.85|
 AK97|sr3.XXX|
 AK98|sr3.XXX|
 weapon->
Blowgun(QCK)|cc.105|
Bracer(QCK)|cc.105|
Cigarette Rocket(INT)|sta2.35|
Clubs(STR)|sr3.85|
 weapon->
Cyber Implant Combat(STR)|sr3.85|
 weapon->
Edged Weapons(STR)|sr3.86|
 weapon->
Eye Gun(QCK)|cc.105|
Gunnery(INT)|sr3.86|
 weapon->
Gun Cane(QCK)|cc.105|
Gyrojet Pistol(QCK)|cc.105|
Heavy Weapons(STR)|sr3.86|
 weapon->
Laser Weapons(QCK)|sr3.86|
 weapon->
Launch Weapons(INT)|sr3.86|
 Grenade Launchers|sr3.XXX|
 Spotter|sr3.XXX|
 weapon->
Off-Hand Clubs(STR)|cc.105|
 weapon->
Off-Hand Cyber-Implant Combat(STR)|cc.105|
 weapon->
Off-Hand Edged Weapons(STR)|cc.105|
 weapon->
Off-Hand Whips(STR)|cc.105|
 weapon->
Oral Gun(QCK)|cc.105|
Oral Strike(QCK)|cc.105|
Pistols(QCK)|sr3.86|
 weapon->
Pole Arms:Staffs(STR)|sr3.86|
 weapon->
Projectile Weapons(STR)|sr3.86|
 Pull Bows|sr3.XXX|
 Crossbows|sr3.XXX|
Rifles(QCK)|sr3.86|
 weapon->
Shotguns(QCK)|sr3.86|
 weapon->
Spray Weapons(STR)|cc.105|
 weapon->
Submachine Guns(QCK)|sr3.86|
 weapon->
Throwing Weapons(STR)|sr3.86|
 Darts|sr3.XXX|
 Grenades|sr3.XXX|
 Shuriken|sr3.XXX|
 Knives|sr3.XXX|
 weapon->
Unarmed Combat-SR3(STR)|sr3.86|
 Subduing Combat|sr3.86|
 Martial Arts Technique|sr3.86|
 Fists|sr3.86|
 Head|sr3.86|
 Kicks|sr3.86|
Underwater Combat(STR)|sr3.86|
 Unarmed Attack|sr3.86|
 Armed Attack|sr3.86|
Whips(QCK)|sr3.86|
 weapon->
!---------------
#Martial Arts(MA)CanComp
!---------------
MA:Aikido(STR)|cc.88+|
 MN:Close Combat|cc.91+|
