!MAGEGEAR.DAT - MageGear data file -
!-------------------------------------------------------------
!A Few Notes:
! Added support for Book-page and ability to exclude those books from listings
! I will eliminate duplicate entries and add SR3 support 990813            - Mike
! SOTA2064 added by Thistledown
! Types (Formats):
!-------
0-15|Magical Equipment|5|KarmaCost|Availability|$Cost|Street Index|Book.Page|
!--------------------------------------------------------------------
1-Foci
2-Adept Focus
3-* Adept Focus 1                  15|2|4/48hrs|60000|2|sta2.068|
3-* Adept Focus 2                  15|4|4/48hrs|120000|2|sta2.068|
3-* Adept Focus 3                  15|6|4/48hrs|180000|2|sta2.068|
3-* Adept Focus 4                  15|8|4/48hrs|240000|2|sta2.068|
3-* Adept Focus 5                  15|10|4/48hrs|300000|2|sta2.068|
3-* Adept Focus 6                  15|12|4/48hrs|360000|2|sta2.068|
3-* Adept Focus 7                  15|14|4/48hrs|420000|2|sta2.068|
3-* Adept Focus 8                  15|16|4/48hrs|480000|2|sta2.068|
3-* Adept Focus 9                  15|18|4/48hrs|540000|2|sta2.068|
3-* Adept Focus 10                 15|20|4/48hrs|600000|2|sta2.068|
2-Anchor Focus, Expendable
3-* Expd Anchor unb focus Lev 1->  15|0|4/48hrs|3000|2|mits.45|
3-* Expd Anchor unb focus Lev 2->  15|0|4/48hrs|6000|2|mits.45|
3-* Expd Anchor unb focus Lev 3->  15|0|4/48hrs|9000|2|mits.45|
3-* Expd Anchor unb focus Lev 4->  15|0|4/48hrs|12000|2|mits.45|
3-* Expd Anchor unb focus Lev 5->  15|0|4/48hrs|15000|2|mits.45|
3-* Expd Anchor unb focus Lev 6->  15|0|4/48hrs|18000|2|mits.45|
3-* Expd Anchor focus Lev 1->      15|1|4/48hrs|3000|2|mits.45|
3-* Expd Anchor focus Lev 2->      15|2|4/48hrs|6000|2|mits.45|
3-* Expd Anchor focus Lev 3->      15|3|4/48hrs|9000|2|mits.45|
3-* Expd Anchor focus Lev 4->      15|4|4/48hrs|12000|2|mits.45|
3-* Expd Anchor focus Lev 5->      15|5|4/48hrs|15000|2|mits.45|
3-* Expd Anchor focus Lev 6->      15|6|4/48hrs|18000|2|mits.45|
2-Anchor Focus, Reusable
3-* Anchor focus, Reuse Lev 1->    15|3|5/48hrs|30000|2|mits.45|
3-* Anchor focus, Reuse Lev 2->    15|6|5/48hrs|60000|2|mits.45|
3-* Anchor focus, Reuse Lev 3->    15|9|5/48hrs|90000|2|mits.45|
3-* Anchor focus, Reuse Lev 4->    15|12|5/48hrs|120000|2|mits.45|
3-* Anchor focus, Reuse Lev 5->    15|15|5/48hrs|150000|2|mits.45|
3-* Anchor focus, Reuse Lev 6->    15|18|5/48hrs|180000|2|mits.45|
2-Expendable Spell Focus, Combat 
3-* Exp. Spell Focus 1 Combat      15|0|3/36hrs|1500|1|sr3.305|
3-* Exp. Spell Focus 2 Combat      15|0|3/36hrs|3000|1|sr3.305|
3-* Exp. Spell Focus 3 Combat      15|0|3/36hrs|4500|1|sr3.305|
3-* Exp. Spell Focus 4 Combat      15|0|3/36hrs|6000|1|sr3.305|
3-* Exp. Spell Focus 5 Combat      15|0|3/36hrs|7500|1|sr3.305|
3-* Exp. Spell Focus 6 Combat      15|0|3/36hrs|9000|1|sr3.305|
3-* Exp. Spell Focus 7 Combat      15|0|3/36hrs|10500|1|sr3.305|
3-* Exp. Spell Focus 8 Combat      15|0|3/36hrs|12000|1|sr3.305|
3-* Exp. Spell Focus 9 Combat      15|0|3/36hrs|13500|1|sr3.305|
3-* Exp. Spell Focus 10 Combat     15|0|3/36hrs|15000|1|sr3.305|
2-Expendable Spell Focus, Detection
3-* Exp. Spell Focus 1 Detect.     15|0|3/36hrs|1500|1|sr3.305|
3-* Exp. Spell Focus 2 Detect.     15|0|3/36hrs|3000|1|sr3.305|
3-* Exp. Spell Focus 3 Detect.     15|0|3/36hrs|4500|1|sr3.305|
3-* Exp. Spell Focus 4 Detect.     15|0|3/36hrs|6000|1|sr3.305|
3-* Exp. Spell Focus 5 Detect.     15|0|3/36hrs|7500|1|sr3.305|
3-* Exp. Spell Focus 6 Detect.     15|0|3/36hrs|9000|1|sr3.305|
3-* Exp. Spell Focus 7 Detect.     15|0|3/36hrs|10500|1|sr3.305|
3-* Exp. Spell Focus 8 Detect.     15|0|3/36hrs|12000|1|sr3.305|
3-* Exp. Spell Focus 9 Detect.     15|0|3/36hrs|13500|1|sr3.305|
3-* Exp. Spell Focus 10 Detect.    15|0|3/36hrs|15000|1|sr3.305|
2-Expendable Spell Focus, Health
3-* Exp. Spell Focus 1 Health      15|0|3/36hrs|1500|1|sr3.305|
3-* Exp. Spell Focus 2 Health      15|0|3/36hrs|3000|1|sr3.305|
3-* Exp. Spell Focus 3 Health      15|0|3/36hrs|4500|1|sr3.305|
3-* Exp. Spell Focus 4 Health      15|0|3/36hrs|6000|1|sr3.305|
3-* Exp. Spell Focus 5 Health      15|0|3/36hrs|7500|1|sr3.305|
3-* Exp. Spell Focus 6 Health      15|0|3/36hrs|9000|1|sr3.305|
3-* Exp. Spell Focus 7 Health      15|0|3/36hrs|10500|1|sr3.305|
3-* Exp. Spell Focus 8 Health      15|0|3/36hrs|12000|1|sr3.305|
3-* Exp. Spell Focus 9 Health      15|0|3/36hrs|13500|1|sr3.305|
3-* Exp. Spell Focus 10 Health     15|0|3/36hrs|15000|1|sr3.305|
2-Expendable Spell Focus, Illusion
3-* Exp. Spell Focus 1 Illusion    15|0|3/36hrs|1500|1|sr3.305|
3-* Exp. Spell Focus 2 Illusion    15|0|3/36hrs|3000|1|sr3.305|
3-* Exp. Spell Focus 3 Illusion    15|0|3/36hrs|4500|1|sr3.305|
3-* Exp. Spell Focus 4 Illusion    15|0|3/36hrs|6000|1|sr3.305|
3-* Exp. Spell Focus 5 Illusion    15|0|3/36hrs|7500|1|sr3.305|
3-* Exp. Spell Focus 6 Illusion    15|0|3/36hrs|9000|1|sr3.305|
3-* Exp. Spell Focus 7 Illusion    15|0|3/36hrs|10500|1|sr3.305|
3-* Exp. Spell Focus 8 Illusion    15|0|3/36hrs|12000|1|sr3.305|
3-* Exp. Spell Focus 9 Illusion    15|0|3/36hrs|13500|1|sr3.305|
3-* Exp. Spell Focus 10 Illusion   15|0|3/36hrs|15000|1|sr3.305|
2-Expendable Spell Focus, Manipulation
3-* Exp. Spell Focus 1 Manip.      15|0|3/36hrs|1500|1|sr3.305|
3-* Exp. Spell Focus 2 Manip.      15|0|3/36hrs|3000|1|sr3.305|
3-* Exp. Spell Focus 3 Manip.      15|0|3/36hrs|4500|1|sr3.305|
